cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
100-00-5,P-NITROCHLOROBENZENE,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",7474,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-01-6,"P-NITROANILINE, [SOLID]","Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",7475,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-02-7,4-NITROPHENOL,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",980,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",MATCH
100-07-2,4-METHOXYBENZOYL CHLORIDE,"Acyl Halides, Sulfonyl Halides, and Chloroformates",7477,"Acyl Halides, Sulfonyl Halides, and Chloroformates",MATCH
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-","Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",7482,"Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-15-2,N-METHYL-4-NITROANILINE,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",7483,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]","Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions",3310889,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions",MATCH
100-19-6,P-NITROACETOPHENONE,"Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",7487,"Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-21-0,TEREPHTHALIC ACID,"Acids, Carboxylic;Hydrocarbons, Aromatic",7489,"Acids, Carboxylic;Hydrocarbons, Aromatic",MATCH
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE","Amines, Phosphines, and Pyridines",7490,"Amines, Phosphines, and Pyridines",MATCH
100-25-4,P-DINITROBENZENE,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",7492,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-27-6,P-NITROPHENETHYL ALCOHOL,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",7494,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-38-9,"2-(N,N-DIETHYLAMINO)ETHANETHIOL","Amines, Phosphines, and Pyridines;Sulfides, Organic",16032,"Amines, Phosphines, and Pyridines;Sulfides, Organic",MATCH
100-51-6,BENZYL ALCOHOL,Alcohols and Polyols,244,Alcohols and Polyols,MATCH
100-57-2,PHENYLMERCURIC HYDROXIDE,"Bases, Strong;Organometallics",7512,"Bases, Strong;Organometallics",MATCH
100-64-1,CYCLOHEXANONE OXIME,Oximes,7517,Oximes,MATCH
